HomeTeam,AwayTeam,FTHG,FTAG
Blackburn,Sunderland,0,0
Charlton,Chelsea,2,3
Everton,Tottenham,2,2
Fulham,Bolton,4,1
Leeds,Man City,3,0
Man United,West Brom,1,0
Southampton,Middlesboro,0,0
Arsenal,Birmingham,2,0
Aston Villa,Liverpool,0,1
Newcastle,West Ham,4,0
Chelsea,Man United,2,2
Birmingham,Blackburn,0,1
Bolton,Charlton,1,2
Liverpool,Southampton,3,0
Man City,Newcastle,1,0
Middlesboro,Fulham,2,2
Sunderland,Everton,0,1
Tottenham,Aston Villa,1,0
West Brom,Leeds,1,3
West Ham,Arsenal,2,2
Arsenal,West Brom,5,2
Charlton,Tottenham,0,1
Aston Villa,Man City,1,0
Blackburn,Liverpool,2,2
Everton,Birmingham,1,1
Leeds,Sunderland,0,1
Southampton,Chelsea,1,1
Birmingham,Leeds,2,1
Man City,Everton,3,1
Middlesboro,Blackburn,1,0
Sunderland,Man United,1,1
Tottenham,Southampton,2,1
West Brom,Fulham,1,0
West Ham,Charlton,0,2
Bolton,Aston Villa,1,0
Chelsea,Arsenal,1,1
Liverpool,Newcastle,2,2
Man United,Middlesboro,1,0
Arsenal,Man City,2,1
Middlesboro,Sunderland,3,0
Aston Villa,Charlton,2,0
Blackburn,Chelsea,2,3
Fulham,Tottenham,3,2
Liverpool,Birmingham,2,2
Man United,Bolton,0,1
Newcastle,Leeds,0,2
Southampton,Everton,1,0
West Ham,West Brom,0,1
Bolton,Liverpool,2,3
Charlton,Arsenal,0,3
Chelsea,Newcastle,3,0
Everton,Middlesboro,2,1
Leeds,Man United,1,0
Sunderland,Fulham,0,3
West Brom,Southampton,1,0
Man City,Blackburn,2,2
Tottenham,West Ham,3,2
Birmingham,Aston Villa,3,0
Arsenal,Bolton,2,1
Liverpool,West Brom,2,0
Man United,Tottenham,1,0
Middlesboro,Birmingham,1,0
Newcastle,Sunderland,2,0
Southampton,Charlton,0,0
West Ham,Man City,0,0
Aston Villa,Everton,3,2
Blackburn,Leeds,1,0
Fulham,Chelsea,0,0
Birmingham,Newcastle,0,2
Bolton,Southampton,1,1
Charlton,Man United,1,3
Chelsea,West Ham,2,3
Everton,Fulham,2,0
Leeds,Arsenal,1,4
Man City,Liverpool,0,3
Sunderland,Aston Villa,1,0
